Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2022 Nissan LEAF S (40 kWh),"$27,400 ",$975 ,"$7,500 ","$20,875 ",149
2022 MINI Cooper SE,"$29,900 ",$850 ,"$7,500 ","$23,250 ",114
2022 Nissan LEAF e+ S (62 kWh),"$32,400 ",$975 ,"$7,500 ","$25,875 ",226
2021 Hyundai IONIQ Electric,"$33,245 ","$1,005 ","$7,500 ","$26,750 ",170
2022 Mazda MX-30,"$33,470 ","$1,175 ","$7,500 ","$27,145 ",100
2022 Hyundai Kona Electric,"$34,000 ","$1,185 ","$7,500 ","$27,685 ",258
2022 Nissan LEAF e+ SV (62 kWh),"$37,400 ",$975 ,"$7,500 ","$30,875 ",215
2022 Chevrolet Bolt EV,"$31,000 ",$995 ,N/A,"$31,995 ",259
2022 Kia Niro EV (e-Niro),"$39,990 ","$1,175 ","$7,500 ","$33,665 ",239
2021 Volkswagen ID.4 Pro,"$39,995 ","$1,195 ","$7,500 ","$33,690 ",260
2022 Chevrolet Bolt EUV,"$33,000 ",$995 ,N/A,"$33,995 ",247
2021 Ford Mustang Mach-E Select SR RWD,"$42,895 ","$1,100 ","$7,500 ","$36,495 ",230
2021 Volkswagen ID.4 AWD Pro,"$43,675 ","$1,195 ","$7,500 ","$37,370 ",249
2021 BMW i3,"$44,450 ",$995 ,"$7,500 ","$37,945 ",153
2021 Volkswagen ID.4 Pro S,"$44,495 ","$1,195 ","$7,500 ","$38,190 ",250
2021 Ford Mustang Mach-E Select SR AWD,"$45,595 ","$1,100 ","$7,500 ","$39,195 ",211
"2022 Polestar 2 Single Motor 19""","$45,900 ","$1,300 ","$7,500 ","$39,700 ",265
2021 BMW i3s,"$47,650 ",$995 ,"$7,500 ","$41,145 ",153
2021 Tesla Model 3 Standard Range Plus,"$39,990 ","$1,200 ",N/A,"$41,190 ",263
2021 Volkswagen ID.4 AWD Pro S,"$48,175 ","$1,195 ","$7,500 ","$41,870 ",240
"2022 Polestar 2 Dual Motor 19""","$49,900 ","$1,300 ","$7,500 ","$43,700 ",249
2021 Ford Mustang Mach-E Route 1 ER RWD,"$50,400 ","$1,100 ","$7,500 ","$44,000 ",305
2021 Ford Mustang Mach-E Premium ER RWD,"$52,600 ","$1,100 ","$7,500 ","$46,200 ",300
2022 Volvo XC40 Recharge,"$55,300 ","$1,095 ","$7,500 ","$48,895 ",223
2021 Ford Mustang Mach-E Premium ER AWD,"$55,300 ","$1,100 ","$7,500 ","$48,900 ",270
2021 Tesla Model 3 Long Range AWD,"$49,990 ","$1,200 ",N/A,"$51,190 ",353
2022 Volvo C40 Recharge,"$58,750 ","$1,095 ","$7,500 ","$52,345 ",210
2021 Ford Mustang Mach-E GT ER AWD,"$59,900 ","$1,100 ","$7,500 ","$53,500 ",270
"2021 Tesla Model Y Long Range AWD 19""","$53,990 ","$1,200 ",N/A,"$55,190 ",326
"2021 Tesla Model 3 Perf. LR AWD 20""","$56,990 ","$1,200 ",N/A,"$58,190 ",315
2021 Ford Mustang Mach-E GT Perf. ER AWD,"$64,900 ","$1,100 ","$7,500 ","$58,500 ",260
2021 Audi e-tron,"$65,900 ","$1,095 ","$7,500 ","$59,495 ",222
"2022 Rivian R1T (Large pack, 21"")","$67,500*",,"$7,500 ","$60,000 ",314
"2021 Tesla Model Y Perf. LR AWD 21""","$60,990 ","$1,200 ",N/A,"$62,190 ",303
"2022 Rivian R1S (Large pack, 21"")","$70,000*",,"$7,500 ","$62,500 ",316
2021 Audi e-tron Sportback,"$69,100 ","$1,095 ","$7,500 ","$62,695 ",218
2022 Jaguar I-PACE EV400,"$69,900 ","$1,150 ","$7,500 ","$63,550 ",234
"2022 Rivian R1T (Max pack, 21"")","$77,500*",,"$7,500 ","$70,000 ",400
2021 Porsche Taycan (79 kWh),"$79,900 ","$1,350 ","$7,500 ","$73,750 ",200
"2022 Audi e-tron S 20""","$84,800 ","$1,095 ","$7,500 ","$78,395 ",208
2021 Porsche Taycan (93 kWh),"$85,680 ","$1,350 ","$7,500 ","$79,530 ",225
"2022 Audi e-tron S Sportback 20""","$87,400 ","$1,095 ","$7,500 ","$80,995 ",212
2021 Porsche Taycan 4 Cross Turismo,"$90,900 ","$1,350 ","$7,500 ","$84,750 ",215
"2021 Tesla Model S Long Range (AWD) 19""","$89,990 ","$1,200 ",N/A,"$91,190 ",405
2022 Audi e-tron GT quattro,"$99,900 ","$1,045 ","$7,500 ","$93,445 ",238
2021 Porsche Taycan 4S (79 kWh),"$103,800 ","$1,350 ","$7,500 ","$97,650 ",199
"2021 Tesla Model X Long Range (AWD) 20""","$99,990 ","$1,200 ",N/A,"$101,190 ",360
2021 Porsche Taycan 4S (93 kWh),"$109,370 ","$1,350 ","$7,500 ","$103,220 ",227
2021 Porsche Taycan 4S Cross Turismo,"$110,300 ","$1,350 ","$7,500 ","$104,150 ",215
"2021 Tesla Model X Plaid 20""","$119,990 ","$1,200 ",N/A,"$121,190 ",340
"2021 Tesla Model S Plaid 19""","$129,990 ","$1,200 ",N/A,"$131,190 ",396
"2022 Lucid Air Grand Touring (21"")","$139,000 ","$1,500 ","$7,500 ","$133,000 ",469
"2022 Lucid Air Grand Touring (19"")","$139,000 ","$1,500 ","$7,500 ","$133,000 ",516
2022 Audi RS e-tron GT quattro,"$139,900 ","$1,045 ","$7,500 ","$133,445 ",232
"2021 Tesla Model S Plaid 21""","$134,490 ","$1,200 ",N/A,"$135,690 ",348
2021 Porsche Taycan Turbo (93 kWh),"$150,900 ","$1,350 ","$7,500 ","$144,750 ",212
2021 Porsche Taycan Turbo Cross Turismo,"$153,500 ","$1,350 ","$7,500 ","$147,350 ",204
"2022 Lucid Air Dream Edition Performance (21"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",451
"2022 Lucid Air Dream Edition Performance (19"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",471
"2022 Lucid Air Dream Edition Range (21"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",481
"2022 Lucid Air Dream Edition Range (19"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",520
2021 Porsche Taycan Turbo S (93 kWh),"$185,000 ","$1,350 ","$7,500 ","$178,850 ",201
2021 Porsche Taycan Turbo S Cross Turismo,"$187,600 ","$1,350 ","$7,500 ","$181,450 ",202
